Date,Open,High,Low,Close,Adj Close,Volume
2002-02-07,2.066666,2.196666,2.063333,2.156666,1.396985,471430671
2002-02-08,2.146666,2.160000,2.120000,2.123333,1.375393,116355147
2002-02-11,null,null,null,null,null,null
2002-02-12,null,null,null,null,null,null
2002-02-13,null,null,null,null,null,null
2002-02-14,null,null,null,null,null,null
2002-02-15,null,null,null,null,null,null
2002-02-18,null,null,null,null,null,null
2002-02-19,null,null,null,null,null,null
2002-02-20,null,null,null,null,null,null
2002-02-21,null,null,null,null,null,null
2002-02-22,null,null,null,null,null,null
2002-02-25,2.160000,2.210000,2.136666,2.183333,1.414258,111496467
2002-02-26,2.150000,2.193333,2.133333,2.190000,1.418577,37996650
2002-02-27,2.190000,2.290000,2.180000,2.246666,1.455283,127304916
2002-02-28,2.246666,2.273333,2.220000,2.236666,1.448805,47163642
2002-03-01,2.233333,2.276666,2.230000,2.243333,1.453124,33230682
2002-03-04,2.240000,2.270000,2.233333,2.266666,1.468238,22706460
2002-03-05,2.276666,2.320000,2.253333,2.293333,1.485511,39871389
2002-03-06,2.303333,2.313333,2.273333,2.276666,1.474715,43282749
2002-03-07,2.276666,2.390000,2.273333,2.376666,1.539490,73851375
2002-03-08,2.386666,2.400000,2.320000,2.360000,1.528695,81848460
2002-03-11,2.360000,2.376666,2.333333,2.370000,1.535172,39782556
2002-03-12,2.370000,2.370000,2.296666,2.303333,1.491989,47004696
2002-03-13,2.303333,2.330000,2.273333,2.296666,1.487671,18864261
2002-03-14,2.296666,2.346666,2.293333,2.333333,1.511422,23330613
2002-03-15,2.343333,2.363333,2.293333,2.296666,1.487671,27012597
2002-03-18,2.330000,2.350000,2.243333,2.266666,1.468238,21111183
2002-03-19,2.260000,2.363333,2.260000,2.360000,1.528695,26546919
2002-03-20,2.370000,2.383333,2.313333,2.350000,1.522217,34987710
2002-03-21,2.366666,2.403333,2.336666,2.390000,1.548128,48779703
2002-03-22,2.396666,2.406666,2.356666,2.380000,1.541650,21917427
2002-03-25,2.380000,2.416666,2.353333,2.400000,1.554605,19985865
2002-03-26,2.400000,2.410000,2.346666,2.360000,1.528695,20061978
2002-03-27,2.350000,2.373333,2.326666,2.360000,1.528695,12958725
2002-03-28,2.356666,2.373333,2.340000,2.356666,1.526536,8717361
2002-03-29,2.346666,2.346666,2.280000,2.286666,1.481193,17385420
2002-04-01,2.266666,2.310000,2.263333,2.306666,1.494148,7881582
2002-04-02,2.300000,2.303333,2.263333,2.270000,1.470398,7589700
2002-04-03,2.273333,2.310000,2.263333,2.276666,1.474715,9901560
2002-04-04,2.270000,2.330000,2.260000,2.323333,1.504944,6507804
2002-04-05,2.336666,2.376666,2.323333,2.346666,1.520058,21693171
2002-04-08,2.346666,2.386666,2.333333,2.346666,1.520058,7677225
2002-04-09,2.360000,2.386666,2.346666,2.380000,1.541650,16672797
2002-04-10,2.383333,2.386666,2.346666,2.366666,1.533013,13899789
2002-04-11,2.350000,2.383333,2.320000,2.320000,1.502785,8589000
2002-04-12,2.313333,2.366666,2.310000,2.333333,1.511422,6167868
2002-04-15,2.333333,2.363333,2.316666,2.340000,1.515740,4437195
2002-04-16,2.363333,2.396666,2.316666,2.323333,1.504944,2360115
2002-04-17,2.330000,2.330000,2.293333,2.306666,1.494148,3782307
2002-04-18,2.316666,2.316666,2.296666,2.303333,1.491989,4581261
2002-04-19,2.303333,2.336666,2.280000,2.333333,1.511422,7560969
2002-04-22,2.330000,2.366666,2.320000,2.340000,1.515740,10050264
2002-04-23,2.333333,2.370000,2.333333,2.350000,1.522217,5816985
2002-04-24,2.353333,2.360000,2.326666,2.336666,1.513581,4746750
2002-04-25,null,null,null,null,null,null
2002-04-26,2.353333,2.383333,2.350000,2.360000,1.528695,9627864
2002-04-29,2.366666,2.446666,2.353333,2.420000,1.567560,27650391
2002-04-30,2.426666,2.456666,2.393333,2.420000,1.567560,25895175
2002-05-01,null,null,null,null,null,null
2002-05-02,null,null,null,null,null,null
2002-05-03,null,null,null,null,null,null
2002-05-06,null,null,null,null,null,null
2002-05-07,null,null,null,null,null,null
2002-05-08,2.433333,2.483333,2.400000,2.450000,1.586993,19133097
2002-05-09,2.443333,2.483333,2.433333,2.466666,1.597788,26067948
2002-05-10,2.470000,2.480000,2.410000,2.426666,1.571878,19620675
2002-05-13,2.420000,2.436666,2.386666,2.430000,1.574038,16585305
2002-05-14,2.426666,2.430000,2.366666,2.386666,1.545968,11728692
2002-05-15,2.370000,2.396666,2.356666,2.360000,1.528695,8797191
2002-05-16,2.360000,2.360000,2.300000,2.310000,1.496307,14566950
2002-05-17,2.303333,2.356666,2.303333,2.353333,1.524376,11697516
2002-05-20,2.350000,2.350000,2.273333,2.300000,1.489830,6919599
2002-05-21,2.383333,2.390000,2.336666,2.366666,1.533013,12117141
2002-05-22,2.366666,2.373333,2.316666,2.323333,1.504944,7403250
2002-05-23,2.316666,2.370000,2.316666,2.323333,1.504944,9238482
2002-05-24,2.343333,2.343333,2.263333,2.293333,1.485511,9914268
2002-05-27,2.306666,2.326666,2.293333,2.320000,1.502785,3747600
2002-05-28,2.320000,2.346666,2.316666,2.333333,1.511422,2344200
2002-05-29,2.330000,2.333333,2.283333,2.293333,1.485511,5050869
2002-05-30,2.276666,2.310000,2.260000,2.290000,1.483352,5461080
2002-05-31,2.283333,2.316666,2.266666,2.270000,1.470398,4725600
2002-06-03,2.260000,2.283333,2.233333,2.270000,1.470398,5365068
2002-06-04,2.260000,2.300000,2.260000,2.296666,1.487671,4294260
2002-06-05,2.286666,2.306666,2.273333,2.276666,1.474715,5103750
2002-06-06,2.270000,2.380000,2.266666,2.343333,1.517899,11242650
2002-06-07,2.343333,2.373333,2.316666,2.343333,1.517899,7620459
2002-06-10,2.343333,2.350000,2.300000,2.310000,1.496307,4938159
2002-06-11,2.323333,2.343333,2.306666,2.326666,1.507103,2870280
2002-06-12,2.320000,2.333333,2.303333,2.330000,1.509262,3248580
2002-06-13,2.330000,2.340000,2.303333,2.303333,1.491989,2557182
2002-06-14,2.300000,2.300000,2.273333,2.280000,1.476875,2847108
2002-06-17,2.270000,2.300000,2.253333,2.296666,1.487671,2209659
2002-06-18,2.300000,2.336666,2.293333,2.333333,1.511422,4182588
2002-06-19,2.336666,2.343333,2.300000,2.303333,1.491989,2022270
2002-06-20,2.316666,2.340000,2.306666,2.313333,1.498466,2113467
2002-06-21,2.310000,2.383333,2.310000,2.366666,1.533013,16867617
2002-06-24,2.603333,2.603333,2.490000,2.603333,1.686314,102568521
2002-06-25,2.650000,2.786666,2.600000,2.633333,1.705747,98582427
2002-06-26,2.616666,2.683333,2.570000,2.626666,1.701429,30126621
2002-06-27,2.646666,2.796666,2.616666,2.746666,1.779159,53506893
2002-06-28,2.766666,2.790000,2.663333,2.723333,1.764045,44629488
2002-07-01,2.720000,2.733333,2.670000,2.686666,1.740294,19356618
2002-07-02,2.666666,2.686666,2.633333,2.673333,1.731657,11269203
2002-07-03,2.683333,2.753333,2.683333,2.710000,1.755408,15837999
2002-07-04,2.720000,2.723333,2.656666,2.666666,1.727338,12626703
2002-07-05,2.643333,2.683333,2.643333,2.663333,1.725180,6322392
2002-07-08,2.666666,2.720000,2.660000,2.693333,1.744612,8499741
2002-07-09,2.693333,2.733333,2.670000,2.686666,1.740294,11874879
2002-07-10,2.676666,2.696666,2.646666,2.660000,1.723021,11921658
2002-07-11,2.650000,2.676666,2.633333,2.646666,1.714384,6497031
2002-07-12,2.643333,2.663333,2.633333,2.640000,1.710066,5975277
2002-07-15,2.626666,2.633333,2.593333,2.613333,1.692792,9817059
2002-07-16,2.613333,2.650000,2.600000,2.616666,1.694951,3427050
2002-07-17,2.616666,2.623333,2.580000,2.616666,1.694951,4936680
2002-07-18,2.633333,2.683333,2.620000,2.666666,1.727338,12623889
2002-07-19,2.666666,2.683333,2.650000,2.666666,1.727338,3382737
2002-07-22,2.670000,2.720000,2.613333,2.616666,1.694951,7547580
2002-07-23,2.613333,2.630000,2.586666,2.600000,1.684155,5083314
2002-07-24,2.600000,2.600000,2.570000,2.596666,1.681996,3637278
2002-07-25,2.600000,2.613333,2.560000,2.563333,1.660405,5717769
2002-07-26,2.566666,2.583333,2.546666,2.563333,1.660405,3982425
2002-07-29,2.563333,2.606666,2.533333,2.600000,1.684155,7829724
2002-07-30,2.600000,2.606666,2.566666,2.593333,1.679837,2603613
2002-07-31,2.600000,2.610000,2.566666,2.570000,1.664723,2561433
2002-08-01,2.550000,2.583333,2.543333,2.566666,1.662564,2029272
2002-08-02,2.566666,2.606666,2.566666,2.600000,1.684155,4832886
2002-08-05,2.606666,2.606666,2.560000,2.566666,1.662564,1192500
2002-08-06,2.566666,2.643333,2.566666,2.600000,1.684155,6125142
2002-08-07,2.603333,2.603333,2.576666,2.583333,1.673359,3716400
2002-08-08,2.586666,2.606666,2.553333,2.566666,1.662564,3375285
2002-08-09,2.566666,2.566666,2.533333,2.540000,1.645290,3212391
2002-08-12,2.516666,2.533333,2.513333,2.513333,1.628017,2448000
2002-08-13,2.493333,2.540000,2.493333,2.510000,1.625858,1634298
2002-08-14,2.533333,2.540000,2.506666,2.533333,1.640972,1672920
2002-08-15,2.536666,2.550000,2.510000,2.523333,1.634494,2321511
2002-08-16,2.523333,2.570000,2.503333,2.540000,1.645290,1804500
