Date,Open,High,Low,Close,Adj Close,Volume
2003-01-06,1.365432,1.377777,1.227160,1.237037,0.887882,786868651
2003-01-07,1.224691,1.246913,1.190123,1.197530,0.859526,238859753
2003-01-08,1.192592,1.318518,1.187654,1.318518,0.946365,291859515
2003-01-09,1.395061,1.449382,1.385185,1.449382,1.040292,445851815
2003-01-10,1.528395,1.595061,1.508641,1.533333,1.100548,835893359
2003-01-13,1.555555,1.602469,1.506172,1.555555,1.116498,442172123
2003-01-14,1.548148,1.703703,1.525925,1.614814,1.159031,605399196
2003-01-15,1.604938,1.698765,1.582716,1.683950,1.208653,559608648
2003-01-16,1.683950,1.723456,1.641975,1.681481,1.206881,265206773
2003-01-17,1.681481,1.688888,1.612345,1.617283,1.160803,264702986
2003-01-20,1.600000,1.725925,1.587654,1.683950,1.208653,280186472
2003-01-21,1.693827,1.701234,1.609876,1.624691,1.166120,173595607
2003-01-22,1.622222,1.641975,1.590123,1.602469,1.150170,129742770
2003-01-23,1.602469,1.666666,1.595061,1.604938,1.151942,127731180
2003-01-24,1.604938,1.762962,1.602469,1.720987,1.235236,375463653
2003-01-27,1.713580,1.740740,1.681481,1.718518,1.233465,159869108
2003-01-28,1.720987,1.750617,1.698765,1.738271,1.247642,105164005
2003-01-29,1.740740,1.748148,1.701234,1.706172,1.224603,119965191
2003-01-30,null,null,null,null,null,null
2003-01-31,null,null,null,null,null,null
2003-02-03,null,null,null,null,null,null
2003-02-04,null,null,null,null,null,null
2003-02-05,null,null,null,null,null,null
2003-02-06,null,null,null,null,null,null
2003-02-07,null,null,null,null,null,null
2003-02-10,1.703703,1.703703,1.661728,1.669135,1.198020,88598111
2003-02-11,1.661728,1.686419,1.659259,1.683950,1.208653,42507637
2003-02-12,1.679012,1.725925,1.661728,1.720987,1.235236,81558814
2003-02-13,1.725925,1.775308,1.706172,1.708641,1.226375,161482272
2003-02-14,1.703703,1.733333,1.691358,1.713580,1.229920,64785760
2003-02-17,1.713580,1.723456,1.666666,1.679012,1.205109,82661148
2003-02-18,1.681481,1.713580,1.671604,1.696296,1.217515,44624511
2003-02-19,1.691358,1.735802,1.688888,1.711111,1.228148,79345874
2003-02-20,1.716049,1.735802,1.691358,1.696296,1.217515,55035778
2003-02-21,1.698765,1.703703,1.646913,1.654320,1.187386,102041762
2003-02-24,1.654320,1.676543,1.651851,1.651851,1.185614,41092648
2003-02-25,1.654320,1.711111,1.654320,1.696296,1.217515,67518072
2003-02-26,1.701234,1.723456,1.686419,1.696296,1.217515,53185600
2003-02-27,1.703703,1.723456,1.688888,1.696296,1.217515,51051485
2003-02-28,1.703703,1.711111,1.683950,1.696296,1.217515,30804077
2003-03-03,1.693827,1.716049,1.691358,1.713580,1.229920,49158543
2003-03-04,1.716049,1.760493,1.708641,1.733333,1.244098,126655220
2003-03-05,1.733333,1.735802,1.698765,1.706172,1.224603,59744401
2003-03-06,1.711111,1.716049,1.674074,1.681481,1.206881,56561166
2003-03-07,1.679012,1.691358,1.669135,1.671604,1.199792,31030225
2003-03-10,1.674074,1.686419,1.646913,1.649382,1.183842,49190838
2003-03-11,1.644444,1.671604,1.644444,1.654320,1.187386,18968912
2003-03-12,1.654320,1.661728,1.602469,1.617283,1.160803,50755049
2003-03-13,1.617283,1.632098,1.602469,1.602469,1.150170,27095824
2003-03-14,1.602469,1.624691,1.597530,1.600000,1.148398,21516925
2003-03-17,1.600000,1.624691,1.595061,1.622222,1.164348,27857661
2003-03-18,1.627160,1.649382,1.607407,1.614814,1.159031,33055731
2003-03-19,1.607407,1.646913,1.585185,1.627160,1.167892,43263477
2003-03-20,1.622222,1.649382,1.614814,1.629629,1.169665,29035968
2003-03-21,1.627160,1.639506,1.614814,1.629629,1.169665,21101265
2003-03-24,1.629629,1.639506,1.602469,1.614814,1.159031,24397965
2003-03-25,1.604938,1.614814,1.545679,1.548148,1.111182,91619270
2003-03-26,1.543209,1.562962,1.525925,1.533333,1.100548,49930923
2003-03-27,1.528395,1.671604,1.520987,1.637037,1.174981,167118507
2003-03-28,1.629629,1.681481,1.624691,1.644444,1.180298,130371525
2003-03-31,1.644444,1.674074,1.637037,1.654320,1.187386,45709442
2003-04-01,1.654320,1.740740,1.654320,1.725925,1.238781,132148867
