Date,Open,High,Low,Close,Adj Close,Volume
2000-10-18,0.562214,0.595052,0.554266,0.579365,0.531609,1300123098
2000-10-19,0.577482,0.589613,0.564933,0.569116,0.522205,370421777
2000-10-20,0.564305,0.583130,0.550083,0.580411,0.532569,244769410
2000-10-23,0.583130,0.587522,0.573090,0.583548,0.535447,102493799
2000-10-24,0.585221,0.597352,0.577482,0.591496,0.542740,126983281
2000-10-25,0.585849,0.605509,0.583548,0.583548,0.535447,171947416
2000-10-26,0.585221,0.587731,0.577482,0.579992,0.532185,71078519
2000-10-27,0.581456,0.602163,0.580411,0.595052,0.546003,97588635
2000-10-30,0.595261,0.595888,0.581038,0.587313,0.538902,54500314
2000-10-31,0.586267,0.589404,0.577482,0.579156,0.531417,62656383
2000-11-01,0.578319,0.587522,0.575182,0.585639,0.537366,74071819
2000-11-02,0.587313,0.595052,0.581456,0.593378,0.544467,63996380
2000-11-03,0.586685,0.595052,0.584594,0.588149,0.539669,36221617
2000-11-06,0.588777,0.603418,0.583548,0.599444,0.550033,55997801
2000-11-07,0.604045,0.614503,0.598189,0.608647,0.558478,74754320
2000-11-08,0.610738,0.617850,0.606974,0.616595,0.565771,82701742
2000-11-09,0.614503,0.619105,0.606974,0.610738,0.560396,63483273
2000-11-10,0.612830,0.616386,0.608647,0.616176,0.565386,62085664
2000-11-13,0.617013,0.619941,0.611157,0.611157,0.560781,61822799
2000-11-14,0.606764,0.629353,0.603627,0.628517,0.576710,73650031
2000-11-15,0.628517,0.652570,0.624334,0.630190,0.578245,100310895
2000-11-16,0.638138,0.638347,0.627471,0.629353,0.577477,49317465
2000-11-17,0.631654,0.633955,0.623706,0.625379,0.573830,38350113
2000-11-20,0.623288,0.629562,0.617641,0.626425,0.574790,21484659
2000-11-21,0.627053,0.628517,0.617222,0.621824,0.570569,24360153
2000-11-22,0.621824,0.633118,0.618059,0.627262,0.575558,44211734
2000-11-23,0.627262,0.635837,0.623288,0.627471,0.575750,20850925
2000-11-24,0.627680,0.635628,0.604464,0.618895,0.567881,61618790
2000-11-27,0.615340,0.618059,0.605509,0.609274,0.559053,36238255
2000-11-28,0.609274,0.616176,0.606555,0.611366,0.560973,15151909
2000-11-29,0.614921,0.619105,0.598189,0.599235,0.549841,25652004
2000-11-30,0.604045,0.606555,0.596097,0.606137,0.556174,12448535
2000-12-01,0.604464,0.611993,0.599026,0.606555,0.556558,6546895
2000-12-04,0.612412,0.612412,0.602372,0.609693,0.559437,7680827
2000-12-05,0.608647,0.613667,0.606555,0.608228,0.558093,8711775
2000-12-06,0.608228,0.611157,0.603418,0.605300,0.555407,11718461
2000-12-07,0.605300,0.608647,0.602372,0.604464,0.554640,10771805
2000-12-08,0.604464,0.612202,0.603836,0.605509,0.555598,12146369
2000-12-11,0.604464,0.604464,0.590032,0.590241,0.541589,26626726
2000-12-12,0.590032,0.602372,0.589823,0.598189,0.548882,8222238
2000-12-13,0.601326,0.601326,0.593587,0.597771,0.548498,5873335
2000-12-14,0.596097,0.605300,0.596097,0.600280,0.550800,9834710
2000-12-15,0.600280,0.602372,0.597980,0.601326,0.551760,5247394
2000-12-18,0.601326,0.610738,0.598189,0.605928,0.555983,24004631
2000-12-19,0.610320,0.610320,0.600490,0.605300,0.555407,9217949
2000-12-20,0.603000,0.614921,0.603000,0.612830,0.562316,17607048
2000-12-21,0.612830,0.622451,0.612830,0.616804,0.565962,12321357
2000-12-22,0.614712,0.618059,0.604254,0.612412,0.561932,26603442
2000-12-25,0.612412,0.612830,0.604464,0.605509,0.555598,28003825
2000-12-26,0.605300,0.621196,0.602581,0.616595,0.565771,19102718
2000-12-27,0.617013,0.619105,0.608856,0.614085,0.563467,16352441
2000-12-28,0.587731,0.624334,0.587731,0.624334,0.572872,32503312
2000-12-29,0.622869,0.632700,0.615967,0.630608,0.578628,35672604
2001-01-01,0.622869,0.632700,0.615967,0.630608,0.578628,0
2001-01-02,0.631027,0.652570,0.627471,0.648177,0.594749,47880029
2001-01-03,0.652151,0.656962,0.640020,0.645249,0.592063,36274735
2001-01-04,0.647341,0.653406,0.640439,0.646086,0.592831,20352161
2001-01-05,0.646086,0.658426,0.645877,0.658426,0.604153,21048862
2001-01-08,0.658426,0.662609,0.638975,0.639811,0.587073,26484871
2001-01-09,0.640020,0.646713,0.619941,0.629562,0.577669,65881135
2001-01-10,0.627471,0.652570,0.623497,0.637929,0.585346,26484154
2001-01-11,0.635837,0.648387,0.623288,0.625379,0.573830,27365931
2001-01-12,0.623288,0.641066,0.617013,0.633746,0.581508,40263459
2001-01-15,0.631654,0.631654,0.613039,0.614921,0.564235,12816488
2001-01-16,0.606764,0.617013,0.604673,0.610320,0.560013,10446308
2001-01-17,0.610320,0.612830,0.596307,0.599653,0.550225,16317874
2001-01-18,0.599444,0.619105,0.598189,0.608647,0.558478,18817430
2001-01-19,0.616595,0.623079,0.608856,0.621196,0.569992,16613346
2001-01-22,0.616595,0.623079,0.608856,0.621196,0.569992,0
2001-01-23,0.616595,0.623079,0.608856,0.621196,0.569992,0
2001-01-24,0.616595,0.623079,0.608856,0.621196,0.569992,0
2001-01-25,0.616595,0.623079,0.608856,0.621196,0.569992,0
2001-01-26,0.616595,0.623079,0.608856,0.621196,0.569992,0
2001-01-29,0.616595,0.623079,0.608856,0.621196,0.569992,0
2001-01-30,0.616595,0.623079,0.608856,0.621196,0.569992,0
2001-01-31,0.616595,0.623079,0.608856,0.621196,0.569992,0
2001-02-01,0.616595,0.623079,0.608856,0.621196,0.569992,0
2001-02-02,0.616595,0.623079,0.608856,0.621196,0.569992,0
2001-02-05,0.623288,0.627262,0.596097,0.596725,0.547538,14884024
2001-02-06,0.593587,0.600071,0.585639,0.596097,0.546962,17181818
2001-02-07,0.592751,0.598189,0.592751,0.595052,0.546003,4582678
