Date,Open,High,Low,Close,Adj Close,Volume
2001-08-27,6.867947,7.518720,6.537585,7.074920,5.320163,204166311
2001-08-28,6.963473,7.363490,6.887848,7.335628,5.516210,65145307
2001-08-29,7.359509,7.363490,7.184378,7.240101,5.444375,26758394
2001-08-30,7.220200,7.464986,7.164476,7.383391,5.552127,24125560
2001-08-31,7.393342,7.486878,7.323687,7.365480,5.538658,11673333
2001-09-03,7.403292,7.476927,7.333638,7.361499,5.535663,11110863
2001-09-04,7.365480,7.578424,7.339608,7.455036,5.606002,18595129
2001-09-05,7.484888,7.546582,7.405282,7.451055,5.603008,13098098
2001-09-06,7.433144,7.457026,7.265973,7.303786,5.492265,14570402
2001-09-07,7.263983,7.353539,7.094822,7.100792,5.339618,15854346
2001-09-10,7.045068,7.333638,6.967453,7.303786,5.492265,9486248
2001-09-11,7.323687,7.353539,7.204279,7.222190,5.430906,5723644
2001-09-12,7.031137,7.204279,7.025167,7.160496,5.384514,12584685
2001-09-13,7.166466,7.224180,7.104772,7.142585,5.371046,5520577
2001-09-14,7.166466,7.263983,7.124674,7.224180,5.432405,3855436
2001-09-17,7.180397,7.222190,7.064970,7.132634,5.363563,4514257
2001-09-18,7.140595,7.273934,7.134624,7.214230,5.424922,5413338
2001-09-19,7.224180,7.347568,7.176417,7.347568,5.525188,4346710
2001-09-20,7.343588,7.373440,7.263983,7.285874,5.478796,5614375
2001-09-21,7.220200,7.283884,7.164476,7.176417,5.396488,3959394
2001-09-24,7.176417,7.242091,7.164476,7.174427,5.394990,2044386
2001-09-25,7.220200,7.271943,7.174427,7.210249,5.421927,1752873
2001-09-26,7.186368,7.260003,7.164476,7.180397,5.399480,2490417
2001-09-27,7.180397,7.359509,7.164476,7.303786,5.492265,4410781
2001-09-28,7.343588,7.403292,7.263983,7.381401,5.550630,8586599
2001-10-01,null,null,null,null,null,null
2001-10-02,null,null,null,null,null,null
2001-10-03,null,null,null,null,null,null
2001-10-04,null,null,null,null,null,null
2001-10-05,null,null,null,null,null,null
2001-10-08,7.363490,7.399312,7.214230,7.279904,5.474307,3292328
2001-10-09,7.283884,7.462996,7.283884,7.423194,5.582057,4802956
2001-10-10,7.423194,7.449065,7.170447,7.184378,5.402473,8817850
2001-10-11,7.166466,7.263983,7.094822,7.114723,5.350095,6183930
2001-10-12,7.144575,7.293835,6.776400,7.164476,5.387507,10054958
2001-10-15,7.144575,7.164476,6.945562,7.025167,5.282751,4901839
2001-10-16,6.991335,7.124674,6.915710,6.925660,5.207923,4180581
2001-10-17,6.923670,6.927651,6.746548,6.806252,5.118132,6284848
2001-10-18,6.806252,6.897799,6.748539,6.774410,5.094187,2504084
2001-10-19,6.766450,6.796302,6.569427,6.666943,5.013375,7882661
2001-10-22,6.627141,6.706746,6.507733,6.525644,4.907122,4904522
2001-10-23,7.164476,7.178407,6.967453,7.178407,5.397983,20399767
2001-10-24,7.319707,7.323687,6.987355,7.136614,5.366556,20442051
2001-10-25,7.104772,7.124674,6.937601,6.941581,5.219896,8058187
2001-10-26,6.905759,6.985364,6.850035,6.965463,5.237855,4523417
2001-10-29,6.941581,7.090841,6.941581,7.025167,5.282751,2305303
2001-10-30,7.015216,7.062980,6.949542,6.965463,5.237855,1750722
2001-10-31,6.965463,6.983374,6.925660,6.975414,5.245337,2393041
2001-11-01,6.975414,7.092832,6.955512,7.078901,5.323157,3337983
2001-11-02,7.021187,7.108753,6.997305,7.037108,5.291730,1726116
2001-11-05,6.965463,7.017207,6.905759,6.945562,5.222890,1854529
2001-11-06,6.925660,7.025167,6.909739,6.995315,5.260303,1311123
2001-11-07,6.965463,6.965463,6.726647,6.736598,5.065753,4685617
2001-11-08,6.637091,6.744558,6.563456,6.706746,5.043306,3719430
2001-11-09,6.706746,6.861976,6.635101,6.796302,5.110650,1889703
2001-11-12,6.846055,6.846055,6.670923,6.686845,5.028341,1348317
2001-11-13,6.623160,6.706746,6.609229,6.694805,5.034326,1343533
2001-11-14,6.694805,6.766450,6.694805,6.696795,5.035822,386406
2001-11-15,6.696795,6.726647,6.666943,6.702766,5.040312,1102162
2001-11-16,7.204279,7.204279,6.764460,6.784361,5.101670,5002028
2001-11-19,6.796302,6.981384,6.786351,6.975414,5.245337,5002028
2001-11-20,7.005266,7.070940,6.945562,7.041088,5.294724,1876563
2001-11-21,7.060989,7.064970,6.945562,7.001285,5.264792,2512606
2001-11-22,7.009246,7.025167,6.947552,6.989345,5.255814,2109804
2001-11-23,6.967453,7.015216,6.921680,6.961483,5.234862,1990269
2001-11-26,6.965463,6.965463,6.865956,6.887848,5.179491,1558182
2001-11-27,6.881877,6.979394,6.881877,6.965463,5.237855,1291110
2001-11-28,6.975414,7.043078,6.945562,6.975414,5.245337,1896165
2001-11-29,6.967453,7.005266,6.927651,6.931631,5.212413,1530641
2001-11-30,6.931631,7.055019,6.925660,7.033128,5.288737,2045577
2001-12-03,7.035118,7.218210,7.033128,7.198309,5.412949,8058282
2001-12-04,7.214230,7.218210,7.126664,7.206269,5.418935,3464588
2001-12-05,7.363490,7.363490,7.156516,7.164476,5.387507,7551432
2001-12-06,7.144575,7.224180,7.124674,7.176417,5.396488,3201907
2001-12-07,7.184378,7.204279,7.124674,7.136614,5.366556,1963788
2001-12-10,7.164476,7.180397,7.106762,7.162486,5.386012,2091097
2001-12-11,7.164476,7.164476,7.086861,7.092832,5.333633,1798885
2001-12-12,7.084871,7.184378,7.084871,7.118703,5.353087,2327819
2001-12-13,7.086861,7.158506,7.005266,7.017207,5.276765,1779002
2001-12-14,6.969443,7.064970,6.969443,7.005266,5.267786,1427668
2001-12-17,6.987355,7.086861,6.975414,7.037108,5.291730,2217887
2001-12-18,7.060989,7.156516,6.985364,7.144575,5.372543,2422552
2001-12-19,7.144575,7.261993,7.090841,7.156516,5.381522,4833854
2001-12-20,7.144575,7.144575,6.895808,6.917700,5.201937,5709283
2001-12-21,6.905759,7.158506,6.905759,7.138605,5.368053,4087687
2001-12-24,7.162486,7.413243,7.126664,7.248062,5.450363,13692952
2001-12-25,7.254032,7.307766,7.154526,7.263983,5.462334,6121502
2001-12-26,7.271943,7.413243,7.184378,7.401302,5.565594,8446432
2001-12-27,7.407272,7.530661,7.347568,7.427174,5.585051,11700115
2001-12-28,7.423194,7.482897,7.339608,7.423194,5.582057,6170101
2001-12-31,7.496828,7.821220,7.455036,7.671960,5.769122,26227103
2002-01-01,null,null,null,null,null,null
2002-01-02,null,null,null,null,null,null
2002-01-03,null,null,null,null,null,null
2002-01-04,7.705792,7.721713,7.453046,7.472947,5.619471,14626976
2002-01-07,7.393342,7.462996,7.299805,7.433144,5.589539,9518436
2002-01-08,7.363490,7.480907,7.260003,7.281894,5.475803,6676259
2002-01-09,7.263983,7.399312,7.234131,7.337618,5.517706,5329705
2002-01-10,7.359509,7.441105,7.234131,7.411253,5.573077,9454421
2002-01-11,7.365480,7.391351,7.164476,7.174427,5.394990,5946714
2002-01-14,7.104772,7.244082,7.051039,7.184378,5.402473,9405660
2002-01-15,7.160496,7.373440,7.146565,7.271943,5.468320,9168942
2002-01-16,7.260003,7.357519,7.045068,7.234131,5.439887,7021809
2002-01-17,7.204279,7.261993,6.905759,6.977404,5.246834,12150100
2002-01-18,6.925660,7.339608,6.905759,7.293835,5.484782,16211021
2002-01-21,7.224180,7.283884,7.080891,7.138605,5.368053,7917025
2002-01-22,7.124674,7.353539,7.124674,7.252042,5.453355,6776267
2002-01-23,7.293835,7.492848,7.204279,7.486878,5.629946,11726093
2002-01-24,7.435134,7.536631,7.323687,7.421203,5.580560,13373883
2002-01-25,7.411253,7.476927,7.323687,7.383391,5.552127,7005121
2002-01-28,7.363490,7.421203,7.025167,7.062980,5.311184,10887627
2002-01-29,7.005266,7.204279,6.961483,7.096812,5.336626,5965432
2002-01-30,7.084871,7.220200,7.005266,7.080891,5.324655,4230482
2002-01-31,7.164476,7.562503,7.164476,7.482897,5.626953,20515368
