Date,Open,High,Low,Close,Adj Close,Volume
1997-11-25,3.075294,3.230198,2.915835,2.938615,1.333892,556786926
1997-11-26,2.961395,3.018344,2.888499,2.956839,1.342164,118220872
1997-11-27,2.961395,3.114020,2.934059,2.995565,1.359742,97716461
1997-11-28,3.006954,3.280314,2.995565,3.268924,1.483825,210093093
1997-12-01,3.268924,3.321318,3.180082,3.196028,1.450736,124851726
1997-12-02,3.184638,3.216530,3.070738,3.098074,1.406273,83296854
1997-12-03,3.086684,3.145912,3.038846,3.075294,1.395933,43648132
1997-12-04,3.086684,3.164136,3.063904,3.095796,1.405239,33895767
1997-12-05,3.120854,3.152746,3.073016,3.073016,1.394899,34093805
1997-12-08,3.093518,3.116298,3.041124,3.052514,1.385592,29614540
1997-12-09,3.054792,3.114020,3.054792,3.073016,1.394899,17971803
1997-12-10,3.098074,3.155024,3.075294,3.132244,1.421783,22885160
1997-12-11,3.143634,3.145912,3.066182,3.111742,1.412477,15863138
1997-12-12,3.109464,3.159580,3.088962,3.091240,1.403171,22517693
1997-12-15,3.093518,3.132244,3.070738,3.088962,1.402137,21370676
1997-12-16,3.098074,3.207418,3.098074,3.150468,1.430055,33937479
1997-12-17,3.132244,3.143634,3.052514,3.059348,1.388694,41239511
1997-12-18,3.052514,3.093518,3.041124,3.063904,1.390762,22728628
1997-12-19,3.052514,3.079850,2.984175,3.011510,1.366980,39459372
1997-12-22,2.984175,3.057070,2.934059,3.054792,1.386626,38116806
1997-12-23,3.052514,3.054792,3.004677,3.006954,1.364912,15238954
1997-12-24,3.006954,3.045680,2.995565,3.006954,1.364912,16622152
1997-12-25,3.006954,3.029734,2.956839,2.979619,1.352504,21177910
1997-12-26,3.025178,3.082128,2.977341,3.032012,1.376286,28767747
1997-12-29,3.029734,3.052514,2.970507,2.975063,1.350436,17532952
1997-12-30,2.975063,3.011510,2.952283,2.965951,1.346300,17055730
1997-12-31,2.968229,3.041124,2.968229,2.977341,1.351470,11378649
1998-01-01,null,null,null,null,null,null
1998-01-02,null,null,null,null,null,null
1998-01-05,3.018344,3.118576,2.984175,3.098074,1.406273,32172081
1998-01-06,3.098074,3.221086,3.052514,3.159580,1.434192,49685108
1998-01-07,3.184638,3.193750,3.116298,3.116298,1.414545,28575293
1998-01-08,3.120854,3.161858,3.098074,3.100352,1.407307,19961797
1998-01-09,3.098074,3.257534,3.075294,3.191472,1.448668,65596127
1998-01-12,3.191472,3.223364,3.098074,3.100352,1.407307,35465331
1998-01-13,3.073016,3.091240,2.790545,2.984175,1.354572,59668242
1998-01-14,2.984175,3.075294,2.984175,3.029734,1.375252,26665641
1998-01-15,3.303094,3.314484,3.123132,3.211974,1.457974,120682369
1998-01-16,3.209696,3.211974,3.111742,3.118576,1.415579,37755023
1998-01-19,3.155024,3.189194,3.029734,3.075294,1.395933,16947705
1998-01-20,3.070738,3.111742,3.057070,3.098074,1.406273,15112632
1998-01-21,3.095796,3.152746,3.079850,3.104908,1.409375,12972615
1998-01-22,3.109464,3.109464,3.070738,3.079850,1.398001,14844164
1998-01-23,3.075294,3.100352,3.073016,3.093518,1.404205,13728446
1998-01-26,null,null,null,null,null,null
1998-01-27,null,null,null,null,null,null
1998-01-28,null,null,null,null,null,null
1998-01-29,null,null,null,null,null,null
1998-01-30,null,null,null,null,null,null
1998-02-02,null,null,null,null,null,null
1998-02-03,null,null,null,null,null,null
1998-02-04,null,null,null,null,null,null
1998-02-05,null,null,null,null,null,null
1998-02-06,null,null,null,null,null,null
1998-02-09,3.143634,3.182360,3.068460,3.070738,1.393865,16235760
1998-02-10,3.093518,3.093518,3.020622,3.043402,1.381456,10150012
1998-02-11,3.041124,3.086684,3.018344,3.043402,1.381456,11083903
1998-02-12,3.050236,3.098074,3.013788,3.082128,1.399035,17243803
1998-02-13,3.075294,3.095796,3.025178,3.034290,1.377320,11992245
1998-02-16,3.070738,3.075294,2.961395,2.988731,1.356640,17974691
1998-02-17,2.984175,3.018344,2.981897,3.006954,1.364912,9738778
1998-02-18,3.029734,3.029734,2.945449,2.970507,1.348367,18951642
1998-02-19,2.963673,2.986453,2.947727,2.963673,1.345266,15060244
1998-02-20,2.979619,3.032012,2.975063,2.984175,1.354572,8560870
1998-02-23,2.972785,3.018344,2.938615,2.988731,1.356640,12307926
1998-02-24,2.995565,3.029734,2.972785,2.972785,1.349402,8420558
1998-02-25,2.972785,2.977341,2.934059,2.952283,1.340096,8898592
1998-02-26,2.950005,2.970507,2.915835,2.950005,1.339062,7851944
1998-02-27,2.965951,3.004677,2.952283,2.972785,1.349402,9792088
1998-03-02,2.950005,2.963673,2.918113,2.922669,1.326653,11808145
1998-03-03,2.927225,2.961395,2.913557,2.961395,1.344232,6628474
1998-03-04,2.938615,3.047958,2.929503,3.013788,1.368014,14655880
1998-03-05,3.025178,3.045680,2.995565,3.002399,1.362844,7185942
1998-03-06,3.006954,3.116298,3.004677,3.038846,1.379388,11567705
1998-03-09,3.073016,3.098074,3.020622,3.041124,1.380422,9973326
1998-03-10,3.032012,3.070738,3.029734,3.052514,1.385592,10262681
1998-03-11,3.054792,3.063904,2.979619,3.047958,1.383524,8342419
1998-03-12,3.025178,3.025178,2.984175,2.995565,1.359742,5247273
1998-03-13,2.997843,3.006954,2.981897,2.995565,1.359742,5705321
1998-03-16,3.006954,3.061626,2.975063,3.036568,1.378354,8222309
1998-03-17,3.070738,3.227920,3.052514,3.150468,1.430055,74204065
1998-03-18,3.166414,3.177804,3.093518,3.098074,1.406273,18414644
1998-03-19,3.098074,3.166414,3.077572,3.098074,1.406273,13186040
1998-03-20,3.102630,3.132244,3.077572,3.109464,1.411443,8880269
1998-03-23,3.098074,3.180082,3.086684,3.118576,1.415579,17542759
1998-03-24,3.118576,3.143634,3.086684,3.139078,1.424885,7845952
1998-03-25,3.193750,3.196028,3.079850,3.109464,1.411443,11833254
1998-03-26,3.100352,3.120854,3.043402,3.050236,1.384558,9635380
1998-03-27,3.047958,3.223364,3.032012,3.189194,1.447634,64950309
1998-03-30,3.200584,3.200584,3.134522,3.166414,1.437294,18177251
1998-03-31,3.161858,3.196028,3.116298,3.155024,1.432124,16352020
1998-04-01,3.155024,3.280314,3.134522,3.221086,1.462111,45357933
1998-04-02,3.237032,3.268924,3.175526,3.180082,1.443498,33881153
1998-04-03,3.175526,3.211974,3.159580,3.161858,1.435226,17384576
1998-04-06,3.164136,3.193750,3.134522,3.143634,1.426954,17491938
1998-04-07,3.145912,3.207418,3.141356,3.182360,1.444532,22607961
1998-04-08,3.177804,3.225642,3.155024,3.191472,1.448668,29366067
1998-04-09,3.189194,3.457998,3.177804,3.371434,1.530356,165818892
1998-04-10,3.371434,3.471666,3.344098,3.380546,1.534492,61719088
1998-04-13,3.389658,3.483056,3.348654,3.394214,1.540696,40185756
1998-04-14,3.394214,3.403326,3.337264,3.348654,1.520016,21987911
1998-04-15,3.344098,3.371434,3.328152,3.364600,1.527254,20297377
1998-04-16,3.348654,3.348654,3.282592,3.282592,1.490029,23889798
1998-04-17,3.268924,3.275758,3.214252,3.221086,1.462111,19076058
1998-04-20,3.211974,3.271202,3.191472,3.221086,1.462111,13727884
1998-04-21,3.211974,3.275758,3.198306,3.221086,1.462111,10086917
1998-04-22,3.221086,3.321318,3.211974,3.271202,1.484859,16103389
1998-04-23,3.275758,3.280314,3.209696,3.218808,1.461076,13937907
1998-04-24,3.211974,3.230198,3.161858,3.196028,1.450736,20787909
1998-04-27,3.184638,3.225642,3.150468,3.164136,1.436260,12988831
1998-04-28,3.166414,3.264368,3.166414,3.234754,1.468315,9772483
1998-04-29,3.266646,3.271202,3.191472,3.200584,1.452804,9061845
1998-04-30,3.234754,3.246144,3.189194,3.223364,1.463144,8220206
1998-05-01,null,null,null,null,null,null
1998-05-04,3.237032,3.305372,3.223364,3.289426,1.493131,17138009
1998-05-05,3.287148,3.305372,3.252978,3.280314,1.488995,9376885
1998-05-06,3.298538,3.298538,3.182360,3.209696,1.456940,14111533
1998-05-07,3.207418,3.209696,3.109464,3.132244,1.421783,19143578
1998-05-08,3.155024,3.177804,3.129966,3.175526,1.441430,17350156
1998-05-11,3.189194,3.207418,3.098074,3.104908,1.409375,15410473
1998-05-12,3.120854,3.177804,3.095796,3.134522,1.422817,12510652
1998-05-13,3.134522,3.155024,3.098074,3.120854,1.416613,9032245
1998-05-14,3.120854,3.143634,3.109464,3.120854,1.416613,9355371
1998-05-15,3.143634,3.218808,3.120854,3.164136,1.436260,13973118
1998-05-18,3.189194,3.221086,3.145912,3.168692,1.438328,6255295
1998-05-19,3.184638,3.189194,3.109464,3.116298,1.414545,6784611
1998-05-20,3.100352,3.161858,3.098074,3.120854,1.416613,8855409
1998-05-21,3.120854,3.182360,3.100352,3.150468,1.430055,7057707
1998-05-22,3.168692,3.184638,3.134522,3.157302,1.433158,9746811
1998-05-25,3.143634,3.166414,3.109464,3.155024,1.432124,14838093
1998-05-26,3.155024,3.155024,3.075294,3.098074,1.406273,12169028
1998-05-27,3.098074,3.198306,3.070738,3.198306,1.451770,15657260
1998-05-28,3.198306,3.200584,3.132244,3.148190,1.429022,10856387
1998-05-29,3.170970,3.264368,3.155024,3.225642,1.464179,37166703
1998-06-01,3.246144,3.296260,3.207418,3.211974,1.457974,18266931
1998-06-02,3.211974,3.221086,3.143634,3.177804,1.442464,8291743
1998-06-03,3.180082,3.186916,3.143634,3.155024,1.432124,7446720
1998-06-04,3.155024,3.193750,3.136800,3.155024,1.432124,7241004
1998-06-05,3.155024,3.200584,3.143634,3.166414,1.437294,6295128
1998-06-08,3.184638,3.246144,3.120854,3.139078,1.424885,11771169
1998-06-09,3.143634,3.180082,3.116298,3.129966,1.420749,7856229
1998-06-10,3.129966,3.166414,3.109464,3.129966,1.420749,6733768
1998-06-11,3.143634,3.145912,3.063904,3.063904,1.390762,6940310
1998-06-12,null,null,null,null,null,null
1998-06-15,3.189194,3.273480,3.118576,3.118576,1.415579,26162923
1998-06-16,3.120854,3.152746,3.047958,3.098074,1.406273,10985334
1998-06-17,3.109464,3.143634,3.068460,3.086684,1.401103,6134777
1998-06-18,3.125410,3.198306,3.109464,3.164136,1.436260,6582021
1998-06-19,3.170970,3.196028,3.143634,3.177804,1.442464,9082038
1998-06-22,3.200584,3.321318,3.200584,3.246144,1.473485,43674914
1998-06-23,3.268924,3.275758,3.205140,3.241588,1.471417,16597292
1998-06-24,3.257534,3.360044,3.202862,3.348654,1.520016,58134227
1998-06-25,3.337264,3.371434,3.230198,3.257534,1.478655,22134874
1998-06-26,3.280314,3.360044,3.259812,3.337264,1.514846,34483797
1998-06-29,3.360044,3.371434,3.184638,3.200584,1.452804,32082731
1998-06-30,3.211974,3.250700,3.143634,3.155024,1.432124,16931955
1998-07-01,3.211974,3.234754,3.086684,3.086684,1.401103,19993229
1998-07-02,3.120854,3.173248,3.075294,3.132244,1.421783,15422321
1998-07-03,3.159580,3.209696,3.132244,3.148190,1.429022,13835119
1998-07-06,3.209696,3.209696,3.120854,3.132244,1.421783,8835954
1998-07-07,3.139078,3.211974,3.139078,3.166414,1.437294,9440353
1998-07-08,3.166414,3.268924,3.166414,3.221086,1.462111,13777525
1998-07-09,3.234754,3.262090,3.209696,3.234754,1.468315,11851393
1998-07-10,3.246144,3.321318,3.234754,3.262090,1.480723,22509778
1998-07-13,3.268924,3.291704,3.218808,3.225642,1.464179,10058752
1998-07-14,3.248422,3.314484,3.230198,3.264368,1.481757,30220642
1998-07-15,3.321318,3.387380,3.282592,3.303094,1.499335,37468582
1998-07-16,3.314484,3.323596,3.259812,3.314484,1.504505,23084766
