Date,Open,High,Low,Close,Adj Close,Volume
2001-01-05,1.294896,1.483581,1.271773,1.433635,0.906491,571540139
2001-01-08,1.420686,1.503005,1.388776,1.429010,0.903567,127892173
2001-01-09,1.437797,1.478956,1.415137,1.442884,0.912339,50337292
2001-01-10,1.439647,1.460458,1.433635,1.438260,0.909415,28711588
2001-01-11,1.433635,1.451209,1.405887,1.428086,0.902982,39583742
2001-01-12,1.423923,1.435485,1.378140,1.387389,0.877249,40028059
2001-01-15,1.387389,1.417911,1.382764,1.417911,0.896549,21302651
2001-01-16,1.396638,1.425311,1.387851,1.405887,0.888946,15014452
2001-01-17,1.401263,1.419761,1.392013,1.401263,0.886022,10124916
2001-01-18,1.398950,1.429010,1.392013,1.413287,0.893625,15458812
2001-01-19,1.405887,1.470632,1.405887,1.452596,0.918480,15096772
2001-01-22,null,null,null,null,null,null
2001-01-23,null,null,null,null,null,null
2001-01-24,null,null,null,null,null,null
2001-01-25,null,null,null,null,null,null
2001-01-26,null,null,null,null,null,null
2001-01-29,null,null,null,null,null,null
2001-01-30,null,null,null,null,null,null
2001-01-31,null,null,null,null,null,null
2001-02-01,null,null,null,null,null,null
2001-02-02,null,null,null,null,null,null
2001-02-05,1.461845,1.465083,1.341142,1.367965,0.864968,30091049
2001-02-06,1.359641,1.378602,1.336980,1.354091,0.856195,27812814
2001-02-07,1.345767,1.355016,1.294896,1.299521,0.821690,24303215
2001-02-08,1.299521,1.336980,1.295821,1.318019,0.833386,11341661
2001-02-09,1.311082,1.377677,1.308770,1.371203,0.867015,13795803
2001-02-12,1.371203,1.387389,1.341142,1.387389,0.877249,5673944
2001-02-13,1.387389,1.404962,1.350854,1.385076,0.875787,11336796
2001-02-14,1.387389,1.398025,1.371665,1.382764,0.874325,5341377
2001-02-15,1.373515,1.404962,1.359641,1.366578,0.864091,4727490
2001-02-16,1.373515,1.393401,1.342530,1.386464,0.876665,3426219
2001-02-19,1.386926,1.389701,1.373977,1.376290,0.870231,3670563
2001-02-20,1.359641,1.386926,1.359641,1.368890,0.865553,4949800
2001-02-21,1.361953,1.361953,1.341142,1.343455,0.849470,3799330
2001-02-22,1.341605,1.379527,1.341142,1.364266,0.862629,3995562
2001-02-23,1.355016,1.386464,1.355016,1.385076,0.875787,2420063
