"Company","WAPE (price)","WAPE (return)"
"AAPL",100.007308978796,99.9915134771516
"AMZN",100.319799492035,100.55207983675
"Coca Cola",100.104869858106,101.441201067333
"DIS",99.8797178186391,99.7724718900996
"EBAY",99.8865298192177,108.091908047898
"FORD",100.054428212284,100.07749400482
"GE",100.220346686187,100.423823984069
"GM",99.834113737885,99.9987056911685
"GOOG",100.141816206726,101.386513869702
"INTC",100.01241247774,99.8312067974762
"MSFT",100.032328832838,99.8942378368044
"NFLX",101.929904166736,101.814482456856
"NKE",99.9729019616965,101.025048019939
"UBER",100.689005201809,100.85287949356
"WMT",99.9672285285856,100.608674497528
