"Company","WAPE (price)","WAPE (return)"
"Agricultural Bank of China",1038.23516766553,1741.72017461579
"Anhui Coonch Cement",151.137119586376,887.240199956261
"China Duty Free Group",104.0008157535,817.757700418709
"China Life Insurance Company Limited",191.002682448598,972.06070994058
"China Merchants Bank",126.528283619038,694.14660945965
"China Pacific Insurance",247.190703049066,870.860119394637
"China Shenhua",343.769486331411,1259.38739049263
"CITIC Securities",170.890861392107,1520.75561740179
"Hengrui Medicine",112.180423855448,707.73373128557
"Kweichow Moutai",100.868744905727,1298.09681069997
"PetroChina",1776.55699484421,1747.99013136468
"Ping An",143.133609870681,953.925944388576
"SAIC Motor",248.335100160726,1463.87982984058
