"Company","WAPE (price)","WAPE (return)"
"AAPL",103.244671620877,887.8348112536
"AMZN",108.161824289435,790.368831086381
"Coca Cola",138.004315518973,1538.13690165204
"DIS",105.919969048828,615.824724133002
"EBAY",125.241191637851,1642.60568385428
"FORD",183.143092835433,662.244398961138
"GE",100.122922630901,695.294873357238
"GM",129.893774586457,656.506292844451
"GOOG",111.112757752281,780.200143906942
"INTC",121.959573578506,661.647595890545
"MSFT",104.767982357561,790.963854280491
"NFLX",103.077375492994,731.291338261848
"NKE",100.885192967949,721.310992557111
