"Company","WAPE (price)","WAPE (return)"
"Agricultural Bank of China",1216.50927693282,2104.51665663335
"Anhui Coonch Cement",127.75995215711,1014.04109459725
"China Duty Free Group",101.824647761609,702.91206650271
"China Life Insurance Company Limited",224.0597293992,1061.11935750328
"China Merchants Bank",125.648856542572,929.263196311096
"China Pacific Insurance",340.7119327696,1343.29959632777
"China Shenhua",266.077300034612,1075.26098044926
"CITIC Securities",156.768632065726,1464.70706869828
"Hengrui Medicine",105.34458692337,772.505948613713
"Kweichow Moutai",101.153738711526,1012.08036832492
"PetroChina",1276.96732936279,1501.37426943493
"Ping An",222.108523388628,1489.88002675479
"SAIC Motor",188.518731104012,1253.78159112039
"Sinopec",632.226720470597,1475.31776004296
"Wanhua Chemical Group",105.22266653203,1146.29535636103
