"Company","WAPE (price)","WAPE (return)"
"AAPL",102.378894682209,997.574733388507
"AMZN",102.494667858788,996.864173428225
"Coca Cola",121.474128455432,1473.36039977876
"DIS",104.360264494146,737.252632472094
"EBAY",131.145052964222,1606.23190360322
"FORD",129.095667202635,539.90354500323
"GE",106.808114891747,716.878409103932
"GM",126.303498166642,618.388373482268
"GOOG",105.815711982596,935.068543737046
"INTC",119.753493117386,784.709503298712
"MSFT",100.767487225068,931.176350967132
"NFLX",100.748997304619,903.034775893972
"NKE",103.820137336997,739.900924042627
"UBER",158.09523410551,608.475093709147
"WMT",103.604670414269,1012.16803242878
