"Company","WAPE (price)","WAPE (return)"
"Agricultural Bank of China",99.9884182181826,99.9568118206097
"Anhui Coonch Cement",99.9992036987632,99.9784650417726
"China Duty Free Group",100.008788881665,100.123891879923
"China Life Insurance Company Limited",100.826182267937,100.11074459764
"China Merchants Bank",99.9995310931152,100.568280235277
"China Pacific Insurance",102.645673688547,100.051125171657
"China Shenhua",196.584302057108,102.378704613306
"CITIC Securities",99.976261936399,100.082153858581
"Hengrui Medicine",99.9873204098911,100.899389489022
"Kweichow Moutai",99.8707257301694,99.6647527054415
"PetroChina",169.90441794752,99.6212047185478
"Ping An",99.9936418527933,99.886365913125
"SAIC Motor",100.036608557346,100.715779835032
"Sinopec",99.9926660021567,99.9503609659329
"Wanhua Chemical Group",99.988153617718,99.5612687548399
