Company,WAPE (price),WAPE (return)
China Shenhua,531.3516879888776,3233253.514603606
Agricultural Bank of China,141.0801128770846,577245.094851645
Wanhua Chemical Group,488.4183660398687,122116.52418946268
Anhui Coonch Cement,946.814392594859,149142.16763429504
CITIC Securities,550.4477407498448,103604.18331875533
Kweichow Moutai,952.989532094785,121583.35749676368
China Duty Free Group,823.5015530633881,103515.36786619124
Ping An,624.7840615681308,290852.8742341822
China Pacific Insurance,833.8967318520323,2350347.4015049394
PetroChina,352.2399786404357,218359.27233774643
SAIC Motor,599.226811625297,94072.29030060397
China Merchants Bank,797.8148312859196,166621.93867439183
Sinopec,355.1190918075005,260363.60509161235
Hengrui Medicine,824.9336647608098,90681.37399098955
China Life Insurance Company Limited,990.8861826554565,614917.5021709508
