"Company","WAPE (price)","WAPE (return)"
"AAPL",100.303871516868,99.9885609279532
"AMZN",100.181433444407,100.232303937044
"Coca Cola",100.398913428366,100.617950566078
"DIS",100.027330255423,100.063040069524
"EBAY",99.9392983831586,100.027670187024
"FORD",100.027735856777,99.983853159294
"GE",100.010209092305,100.006143716015
"GM",99.9942217521088,99.9981819128302
"GOOG",100.291464825728,100.214538527743
"INTC",99.997723369477,99.9847411113959
"MSFT",99.981819208708,129.373703553062
"NFLX",100.003576554465,99.9841539545764
"NKE",99.9228233494121,100.171034140282
"UBER",100.366959241808,100.396797859132
"WMT",100.008588754766,112.125230642195
