Company,WAPE (price),WAPE (return)
AMZN,1679.7699092934188,101740.22808404521
MSFT,860.1302417978866,152010.36317743716
GM,748.741117979022,738047.0976124369
UBER,877.2262420648673,122372.91794695245
Coca Cola,376.99455312753736,147141.41411637547
EBAY,1017.6544993399555,154319.3656818762
DIS,932.9484755223069,146599.9362292445
FORD,1157.5624409793936,310763.6468708316
NFLX,1364.7433892958998,129521.16327216775
NKE,1042.412619510485,179233.41080197511
GE,1121.1329640870013,303566.42672384204
WMT,622.8290697127746,138374.43790806664
INTC,1365.1158051978152,257638.86115905715
GOOG,999.1500128829929,134724.56796499115
AAPL,722.5752873577869,165656.06256047028
