Company,WAPE (price),WAPE (return)
China Shenhua,101.65814076987903,100.96780991215893
China Pacific Insurance,98.47401850568954,98.31852977968862
Anhui Coonch Cement,106.1612162292528,104.2324066109858
SAIC Motor,103.4967676749861,102.90172397111672
Ping An,101.66348124211298,101.30024241588409
Agricultural Bank of China,102.48459716674634,101.49053063186702
Wanhua Chemical Group,101.19450514110213,99.25104890168473
China Life Insurance Company Limited,97.54754705280679,97.31271011805558
Sinopec,101.60393882195113,100.87635990102821
China Duty Free Group,100.72399942776431,99.93423418117501
Kweichow Moutai,103.29698497817279,102.34019459859654
Hengrui Medicine,98.35245855648121,97.58697163378386
CITIC Securities,100.46497950106617,99.75499365002436
PetroChina,102.19103744442133,101.83698144968044
China Merchants Bank,102.35392732305033,102.04010985190628
