"Company","WAPE (price)","WAPE (return)"
"Agricultural Bank of China",3335.32159014206,2792.05413067696
"Anhui Coonch Cement",145.698077429601,1543.47168175328
"China Duty Free Group",102.002163725565,992.243243573664
"China Life Insurance Company Limited",229.23767298266,1467.24596786811
"China Merchants Bank",134.53738445024,1309.46217521086
"China Pacific Insurance",359.415662330854,1834.75689437115
"China Shenhua",318.638160292904,1519.56002801883
"CITIC Securities",208.709624247447,2252.18028738241
"Hengrui Medicine",110.436870218351,1018.4695580868
"Kweichow Moutai",100.608427005342,1523.31309466369
"PetroChina",1440.38731412531,2210.29757151421
"Ping An",228.727853656527,2125.2465281097
"SAIC Motor",244.052559290458,1909.965089832
"Sinopec",1165.68260037089,2181.79274261902
"Wanhua Chemical Group",107.730998697836,1408.9940865597
