Company,WAPE (price),WAPE (return)
China Shenhua,1.982063282898604,105.34024393374366
Agricultural Bank of China,0.4689827128048699,104.819720308181
Wanhua Chemical Group,1.5094158052190922,102.58775982571807
Anhui Coonch Cement,1.458439101962378,104.21155532591928
CITIC Securities,1.2481931902595416,102.43493496667084
Kweichow Moutai,1.3626601107452567,103.8049909027018
China Duty Free Group,2.276677143912327,103.41958990297344
Ping An,1.1977408944082062,102.1238247122345
China Pacific Insurance,1.316324980703588,101.98318456815389
PetroChina,1.5135950557071671,104.2116932909665
SAIC Motor,1.2251101138300462,103.1447505376828
China Merchants Bank,1.4383941508156048,103.60528166938859
Sinopec,1.6502816565645144,105.95202310559712
Hengrui Medicine,1.7674565030421512,104.37991362458423
China Life Insurance Company Limited,1.4926615994236792,101.12572231937527
