Company,WAPE (price),WAPE (return)
AMZN,2.131504518739671,103.78453088749934
MSFT,1.518124596470327,103.49653447350764
GM,2.1392208694939905,102.01301339629953
UBER,2.8491350007144765,103.29654021213908
Coca Cola,0.8837310131588545,102.11345064743784
EBAY,1.8093974581796088,100.40832388335117
DIS,1.6393762711767366,102.63282711623918
FORD,2.4173766445816547,102.74360780662424
NFLX,2.3214619244429113,104.27328499136182
NKE,1.704946385913279,103.02959418861654
GE,1.6448565720531212,103.08690638628715
WMT,1.069075874242953,105.51215396169002
INTC,1.5637760353616021,102.90516620456805
GOOG,1.700622769997313,104.17689481770884
AAPL,1.6514774239554857,102.21699318390844
