Company,WAPE (price),WAPE (return)
China Shenhua,2.037898264825344,101.01462602615356
Agricultural Bank of China,0.5128106102347374,108.67576599121094
Wanhua Chemical Group,1.9608033820986748,100.24933815002441
Anhui Coonch Cement,1.4943920075893402,101.50446891784668
CITIC Securities,1.3914935290813446,99.90449547767639
Kweichow Moutai,1.579352654516697,100.7034420967102
China Duty Free Group,2.3742100223898888,101.27249956130981
Ping An,1.24321598559618,100.25904178619385
China Pacific Insurance,1.410298328846693,100.25368928909302
PetroChina,1.5745704993605614,101.30984783172607
SAIC Motor,1.4875516295433044,101.41421556472778
China Merchants Bank,1.5344340354204178,100.57265758514404
Sinopec,1.6959581524133682,101.02688074111938
Hengrui Medicine,1.924581453204155,100.35055875778198
China Life Insurance Company Limited,1.5597411431372166,100.3523588180542
