Company,WAPE (price),WAPE (return)
China Shenhua,2.9031971469521523,11.532564461231232
Agricultural Bank of China,1.8059957772493362,4.071017354726791
Wanhua Chemical Group,4.108873009681702,11.995061486959457
Anhui Coonch Cement,4.448001459240913,8.994907140731812
CITIC Securities,1.0171836242079735,7.095315307378769
Kweichow Moutai,1.569703221321106,9.24592837691307
China Duty Free Group,6.506460905075073,10.907889157533646
Ping An,1.2052028439939022,7.91899561882019
China Pacific Insurance,1.9649665802717209,10.990235954523087
PetroChina,7.722841203212738,11.557946354150772
SAIC Motor,1.9249344244599342,9.964600205421448
China Merchants Bank,7.46324360370636,11.278319358825684
Sinopec,1.3037500903010368,6.130177155137062
Hengrui Medicine,2.070917934179306,9.643910825252533
China Life Insurance Company Limited,1.7859067767858505,11.220303177833557
