Company,WAPE (price),WAPE (return)
China Shenhua,3.1594160944223404,433.29100608825684
Agricultural Bank of China,7.817455381155014,94.09593343734741
Wanhua Chemical Group,2.346404641866684,164.71329927444458
Anhui Coonch Cement,2.2500278428196907,234.76362228393555
CITIC Securities,391.82660579681396,1467.9848670959473
Kweichow Moutai,0.5992380902171135,1248.6461639404297
China Duty Free Group,1.1612625792622566,91.3601815700531
Ping An,2.0962633192539215,96.70325517654419
China Pacific Insurance,8.44229906797409,463.9946460723877
PetroChina,30.046913027763367,90.7808005809784
SAIC Motor,0.5122832022607327,121.2200403213501
China Merchants Bank,10.135595500469208,6435.101318359375
Sinopec,0.6815456785261631,92.06089973449707
Hengrui Medicine,1.0126804932951927,631.6318511962891
China Life Insurance Company Limited,0.6557592190802097,880.614185333252
