Company,WAPE (price),WAPE (return)
China Shenhua,4.304621368646622,12.153353542089462
Agricultural Bank of China,3.018493950366974,4.296712949872017
Wanhua Chemical Group,9.615038335323334,12.4483123421669
Anhui Coonch Cement,5.569136887788773,8.972872793674469
CITIC Securities,1.461612805724144,7.559017837047577
Kweichow Moutai,2.1249739453196526,9.59693267941475
China Duty Free Group,6.508585810661316,11.372648179531097
Ping An,1.9019326195120811,8.297935128211975
China Pacific Insurance,2.520507760345936,11.446063220500946
PetroChina,9.48251560330391,9.764819592237473
SAIC Motor,2.103438600897789,10.736574977636337
China Merchants Bank,8.345083147287369,11.835689097642899
Sinopec,2.19232477247715,6.215962767601013
Hengrui Medicine,2.6474330574274063,10.326390713453293
China Life Insurance Company Limited,2.8454381972551346,11.641260236501694
