Company,WAPE (price),WAPE (return)
China Shenhua,2.0637047305763887,126.58907219596985
China Pacific Insurance,2.2304468129767954,101.12607718053319
Anhui Coonch Cement,1.9135244429208436,138.74598142903594
SAIC Motor,1.588348361386076,109.34733821267011
Ping An,2.3783678453382513,94.89523013335607
Agricultural Bank of China,0.7308491286576868,129.34563243337314
Wanhua Chemical Group,2.175108882307511,124.60091041792761
China Life Insurance Company Limited,2.492551294426526,113.72521909278287
Sinopec,1.979148486007869,112.90190131509135
China Duty Free Group,3.0457247100710116,124.28247815740774
Kweichow Moutai,1.5431166419566178,142.27219960985425
Hengrui Medicine,2.4618378735500746,132.90331961411604
CITIC Securities,1.8381692900986495,113.58539733764621
PetroChina,1.6002589036708468,145.4985111068879
China Merchants Bank,2.796774932134371,106.35579170313498
