Company,WAPE (price),WAPE (return)
GE,2.042434870012664,126.64082582861948
AMZN,4.439462169406739,111.52646403463397
GOOG,3.1141599314537483,108.23010626640077
NKE,4.226894651252913,121.09622376830194
INTC,2.797018084773285,144.15465179638
AAPL,3.524383440011298,104.49753650787896
UBER,3.9235943595128693,151.8188774603459
MSFT,3.090985674571831,122.30491610713126
GM,2.815415830613915,122.76034108928626
WMT,1.5829110967979942,147.49676549768287
NFLX,3.6495111305801826,150.97241237587815
Coca Cola,1.190723904555546,115.69192414249
EBAY,2.2031993752241337,101.57588285147222
FORD,2.8361656010364684,140.71644439150032
DIS,3.1586172270875847,127.27578659247058
