Company,WAPE (price),WAPE (return)
China Shenhua,3.0428556725382805,121.94300889968872
Agricultural Bank of China,77.26601958274841,112.26214170455933
Wanhua Chemical Group,4.13551963865757,114.69643115997314
Anhui Coonch Cement,29.3023943901062,1518.8984870910645
CITIC Securities,3.3022448420524597,143.01711320877075
Kweichow Moutai,1.6733651980757713,165.90609550476074
China Duty Free Group,2.590898796916008,105.87977170944214
Ping An,5.1538582891225815,158.36273431777954
China Pacific Insurance,23.440903425216675,119.8117733001709
PetroChina,10.66458448767662,108.73174667358398
SAIC Motor,1.7527459189295769,104.34483289718628
China Merchants Bank,3.88018898665905,141.22893810272217
Sinopec,1.6688855364918709,115.01884460449219
Hengrui Medicine,61.48494482040405,116.61432981491089
China Life Insurance Company Limited,4.308753460645676,106.32838010787964
