Company,WAPE (price),WAPE (return)
AMZN,1.951371692121029,111.91949844360352
MSFT,48.86101186275482,101.16503238677979
GM,2.321084588766098,125.85750818252563
UBER,3.168395161628723,106.98363780975342
Coca Cola,1.6791542991995811,143.47063302993774
EBAY,1.9417064264416695,623.6305236816406
DIS,1.7274187877774239,117.02653169631958
FORD,2.110053598880768,128.9171576499939
NFLX,1.9461868330836296,128.80966663360596
NKE,1.4808650128543377,104.12136316299438
GE,2.4197030812501907,147.59289026260376
WMT,3.894978389143944,183.2111358642578
INTC,1.9519317895174026,104.82586622238159
GOOG,1.4229177497327328,102.38548517227173
AAPL,1.8023500218987465,114.94547128677368
